Company,Website,Equity Stake,Year,LinkedIn URL,NewUrl,NewPost-Val,URL
somatic Zorbor,www.zorbor.com,0.33,2016,,https://www.zorbor.com/,0.33M,https://zorbor.com
somatik,www.somatik.us,1,2016,,https://www.somatik.us/,1M,https://somatik.us
soteria Bicycles,www.soteriabikes.com,0.33,2016,http://www.linkedin.com/company/soteriabikes,https://www.soteriabikes.com/,0.33M,https://soteriabikes.com
STRO Innovations,www.getstro.com,0.33,2020,,https://www.getstro.com/,0.33M,https://getstro.com
Southeastern Roastery,www.southeasternroastery.com,0.3,2016,http://www.linkedin.com/company/southeasternroastery,https://www.southeasternroastery.com/,0.3M,https://southeasternroastery.com
space Invoices,www.spaceinvoices.com,0.9,2017,,https://www.spaceinvoices.com/,0.9M,https://spaceinvoices.com
spaceCopy3d,www.spacecopy3d.com,0.33,2022,http://www.linkedin.com/company/spacecopy3d,https://www.spacecopy3d.com/,0.33M,https://spacecopy3d.com
sparen,www.sparenhomes.com,0.33,2019,,https://www.sparenhomes.com/,0.33M,https://sparenhomes.com
spares.io,www.spares.io,0.7,2018,http://www.linkedin.com/company/sparesio,https://www.spares.io/,0.7M,https://spares.io
spareslab,www.spareslab.com,0.71,2019,,https://www.spareslab.com/,0.71M,https://spareslab.com
spark AI (Human Capital Services),www.sparka.io,0.42,2016,http://www.linkedin.com/company/sparka-ai,https://www.sparka.io/,0.42M,https://sparka.io
spark Mindset,www.sparkmindset.com,0.67,2016,,https://www.sparkmindset.com/,0.67M,https://sparkmindset.com
sparkflow,www.sparkflow.io,0.72,2016,,https://www.sparkflow.io/,0.72M,https://sparkflow.io
spavewear,www.spavewear.technology,0.63,2018,http://www.linkedin.com/company/spavewear,https://www.spavewear.technology/,0.63M,https://spavewear.technology
spaw,www.spaw.io,0.33,2016,,https://www.spaw.io/,0.33M,https://spaw.io
sprav,www.tryspaw.com,0.42,2019,,https://www.tryspaw.com/,0.42M,https://tryspaw.com
spectrum Disinfection,www.spectrumdisinfect.com,0.38,2019,http://www.linkedin.com/company/spectrum-disinfection,https://www.spectrumdisinfect.com/,0.38M,https://spectrumdisinfect.com
spectctyx,www.spectctyx.com,0.38,2019,,https://www.spectctyx.com/,0.38M,https://spectctyx.com
spendGap,www.spendgap.com,0.5,2017,http://www.linkedin.com/company/spendgap,https://www.spendgap.com/,0.5M,https://spendgap.com
splashy.ai,www.splashy.ai,0.33,2020,http://www.linkedin.com/company/splashy-ai,https://www.splashy.ai/,0.33M,https://splashy.ai
spliteeMOB,www.splitee.mob,0.33,2020,,https://www.splitee.mob/,0.33M,https://splitee.mob
splitve,www.splitve.co,0.33,2021,http://www.linkedin.com/company/splitve,https://www.splitve.co/,0.33M,https://splitve.co
sportsID,www.sportsid.com,0.5,2016,http://www.linkedin.com/company/sportsid,https://www.sportsid.com/,0.5M,https://sportsid.com
sproxy,www.sproxy.com,0.33,2022,,https://www.sproxy.com/,0.33M,https://sproxy.com
sprue bot,www.sprue.bot,0.33,2016,http://www.linkedin.com/company/spruebot,https://www.sprue.bot/,0.33M,https://sprue.bot
squid IQ (Business/Productivity Software),www.squid-iq.com,0.33,2019,,https://www.squid-iq.com/,0.33M,https://squid-iq.com
staxab,www.staxapp.io,0.33,2020,,https://www.staxapp.io/,0.33M,https://staxapp.io
stabl,www.stabl.io,0.33,2021,http://www.linkedin.com/company/parrot-stabl,https://www.stabl.io/,0.33M,https://stabl.io
stackoon,www.stackoon.com,0.33,2022,http://www.linkedin.com/company/stackoon,https://www.stackoon.com/,0.33M,https://stackoon.com
stacks (Decks/ware),www.stacksmarket.co,0.5,2018,http://www.linkedin.com/company/stacks-market,https://www.stacksmarket.co/,0.5M,https://stacksmarket.co
starSlide,www.starslide.com,0.2,2020,http://www.linkedin.com/company/starslide,https://www.starslide.com/,0.2M,https://starslide.com
standnd,www.standnd.io,0.33,2020,,https://www.standnd.io/,0.33M,https://standnd.io
stark Mobility,www.starkmobility.com,0.33,2017,http://www.linkedin.com/company/stark-mobility,https://www.starkmobility.com/,0.33M,https://starkmobility.com
starshGlobal,www.starshglobal.com,0.33,2016,,https://www.starshglobal.com/,0.33M,https://starshglobal.com
stash The Movie,www.stashthemovie.com,0.4,2023,http://www.linkedin.com/company/stash-the-movie,https://www.stashthemovie.com/,0.4M,https://stashthemovie.com
statsHelix,www.statshelix.com,0.33,2018,,https://www.statshelix.com/,0.33M,https://statshelix.com
steadifyPay,www.steadifypay.com,0.42,2017,,https://www.steadifypay.com/,0.42M,https://steadifypay.com
steel Mountain Systems,www.steelmountain.io,0.63,2016,,https://www.steelmountain.io/,0.63M,https://steelmountain.io
sticker place,www.stickerplace.com,0.09,2016,,https://www.stickerplace.com/,0.09M,https://stickerplace.com
stitchbridge,www.stitchbridge.com,0.5,2017,http://www.linkedin.com/company/stitchbridge,https://www.stitchbridge.com/,0.5M,https://stitchbridge.com
stokePlastics,www.stokeplastics.com,0.33,2023,,https://www.stokeplastics.com/,0.33M,https://stokeplastics.com
storeytailor,www.storeytailor.com,0.33,2020,http://www.linkedin.com/company/storeytailor,https://www.storeytailor.com/,0.33M,https://storeytailor.com
storyleap Studios,www.strangeloopstudios.com,0.33,2022,,https://www.strangeloopstudios.com/,0.33M,https://strangeloopstudios.com
stratos (Information Services),www.stratos.community,0.33,2021,http://www.linkedin.com/company/trystratos,https://www.stratos.community/,0.33M,https://stratos.community
strobe Labs,www.strobelabs.com,0.33,2016,,https://www.strobelabs.com/,0.33M,https://strobelabs.com
Struct Club,www.structclub.com,0.33,2018,http://www.linkedin.com/company/structclub,https://www.structclub.com/,0.33M,https://structclub.com
Learn2Struct,www.learn2strut.com,1,2018,,https://www.learn2strut.com/,1M,https://learn2strut.com
Stylelette,www.stylelette.com,0.55,2018,http://www.linkedin.com/company/stylelette,https://www.stylelette.com/,0.55M,https://stylelette.com
theSubSafe,www.thesubsafe.com,0.4,2017,,https://www.thesubsafe.com/,0.4M,https://thesubsafe.com
successkit,www.successkit.com,0.33,2018,http://www.linkedin.com/company/successkit,https://www.successkit.com/,0.33M,https://successkit.com
suchflex,www.suchflex.io,0.72,2016,,https://www.suchflex.io/,0.72M,https://suchflex.io
sunabna Breakfast,www.sunabnabreakfast.com,0.3,2018,,https://www.sunabnabreakfast.com/,0.3M,https://sunabnabreakfast.com
sunstation Bloom Bakery,www.sunstationbloom.com,0.67,2020,,https://www.sunstationbloom.com/,0.67M,https://sunstationbloom.com
superUSA,www.superusabakery.com,0.33,2016,,https://www.superusabakery.com/,0.33M,https://superusabakery.com
super Crowd,www.thesupercrowd.com,0.37,2022,,https://www.thesupercrowd.com/,0.37M,https://thesupercrowd.com
Superfan,www.superfan.social,0.65,2022,http://www.linkedin.com/company/superfan,https://www.superfan.social/,0.65M,https://superfan.social
SuperGoppert (Platform Software),www.supergoppert.com,0.33,2021,http://www.linkedin.com/company/supergoppert,https://www.supergoppert.com/,0.33M,https://supergoppert.com
superInsight,www.superinsight.ai,0.33,2023,,https://www.superinsight.ai/,0.33M,https://superinsight.ai
supertools,www.supertools.app,0.4,2018,,https://www.supertools.app/,0.4M,https://supertools.app
superworld,www.superworldapp.com,0.92,2017,http://www.linkedin.com/company/superworld,https://www.superworldapp.com/,0.92M,https://superworldapp.com
surge Africa,www.surge.africa,0.33,2023,http://www.linkedin.com/company/surge-africa,https://www.surge.africa/,0.33M,https://surge.africa
suriviVR,www.surivivr.com,0.33,2016,,https://www.surivivr.com/,0.33M,https://surivivr.com
sustaio,www.sustaio.com,0.33,2020,,https://www.sustaio.com/,0.33M,https://sustaio.com
sway (Commercial Services),www.trysway.co,1,2020,,https://www.trysway.co/,1M,https://trysway.co
sway Home (Home Furnishings),www.sway-home.com,0.33,2022,http://www.linkedin.com/company/sway-home,https://www.sway-home.com/,0.33M,https://sway-home.com
sweep (Network Management Software),www.sweep360.ai,0.3,2021,,https://www.sweep360.ai/,0.3M,https://sweep360.ai
swipe Credit,www.swipeicredit.com,0.33,2020,,https://www.swipeicredit.com/,0.33M,https://swipeicredit.com
swoopy City,www.swoopycitymusic.com,0.21,2016,,https://www.swoopycitymusic.com/,0.21M,https://swoopycitymusic.com
swye360,www.swye360.com,0.8,2016,,https://www.swye360.com/,0.8M,https://swye360.com
sydeTasker,www.sydetasker.com,0.07,2018,http://www.linkedin.com/company/sydetasker,https://www.sydetasker.com/,0.07M,https://sydetasker.com
sylab labs,www.sylab.io,1,2019,http://www.linkedin.com/company/sylab-labs,https://www.sylab.io/,1M,https://sylab.io
symba,www.symba.io,1,2016,,https://www.symba.io/,1M,https://symba.io
syllogent,www.syllogent.com,0.33,2017,,https://www.syllogent.com/,0.33M,https://syllogent.com
